Date,Primary Type,Description,Location Description,Arrest,District,Latitude,Longitude
2020-01-01 00:00:00,BURGLARY,SAMPLE,STREET,False,9,41.92768979567309,-87.61940564930501
2020-01-01 01:00:00,ROBBERY,SAMPLE,STREET,False,15,41.67771705978666,-87.6358920858563
2020-01-01 02:00:00,ASSAULT,SAMPLE,STREET,True,16,41.948060661410715,-87.60179053863861
2020-01-01 03:00:00,ROBBERY,SAMPLE,STREET,False,21,41.785198412524764,-87.81986091740208
2020-01-01 04:00:00,ROBBERY,SAMPLE,STREET,True,8,41.79054360573271,-87.6464508407584
2020-01-01 05:00:00,BATTERY,SAMPLE,STREET,False,16,41.697462337883756,-87.77025182941786
2020-01-01 06:00:00,ASSAULT,SAMPLE,STREET,False,5,41.70874285945608,-87.61423850078002
2020-01-01 07:00:00,ASSAULT,SAMPLE,STREET,True,18,41.72430362248248,-87.56293937204563
2020-01-01 08:00:00,ASSAULT,SAMPLE,STREET,False,20,41.78128246742857,-87.57955314104719
2020-01-01 09:00:00,ROBBERY,SAMPLE,STREET,False,14,42.00678796511024,-87.8155143332579
2020-01-01 10:00:00,BURGLARY,SAMPLE,STREET,True,2,41.79730409529203,-87.73913427379814
2020-01-01 11:00:00,ASSAULT,SAMPLE,STREET,False,23,41.939745082625286,-87.74070317284071
2020-01-01 12:00:00,ROBBERY,SAMPLE,STREET,True,23,41.683099001555945,-87.81331112009214
2020-01-01 13:00:00,BATTERY,SAMPLE,STREET,True,3,41.886439519708794,-87.82056218399595
2020-01-01 14:00:00,BURGLARY,SAMPLE,STREET,True,14,41.84275649250817,-87.73453295950924
2020-01-01 15:00:00,BATTERY,SAMPLE,STREET,False,7,42.0411831787818,-87.55237853485104
2020-01-01 16:00:00,BURGLARY,SAMPLE,STREET,False,15,41.98848310795158,-87.67931720468012
2020-01-01 17:00:00,ROBBERY,SAMPLE,STREET,True,17,41.831931908975456,-87.66346551141872
2020-01-01 18:00:00,THEFT,SAMPLE,STREET,False,1,41.960057105618134,-87.70869432699439
2020-01-01 19:00:00,BURGLARY,SAMPLE,STREET,True,9,41.72721549651751,-87.65130083430878
2020-01-01 20:00:00,BATTERY,SAMPLE,STREET,False,22,41.87493453095671,-87.56300137577657
2020-01-01 21:00:00,ROBBERY,SAMPLE,STREET,True,14,41.679847622227484,-87.67339061391567
2020-01-01 22:00:00,BURGLARY,SAMPLE,STREET,True,16,41.78923561290067,-87.83048846208364
2020-01-01 23:00:00,THEFT,SAMPLE,STREET,False,21,41.74034487264887,-87.70213282924954
2020-01-02 00:00:00,THEFT,SAMPLE,STREET,True,13,41.93756392613008,-87.55217461802441
2020-01-02 01:00:00,ASSAULT,SAMPLE,STREET,True,6,41.84603627648574,-87.73377918382171
2020-01-02 02:00:00,ASSAULT,SAMPLE,STREET,False,22,41.9504281915392,-87.67183562883565
2020-01-02 03:00:00,BATTERY,SAMPLE,STREET,True,1,41.85611817505258,-87.81800897097135
2020-01-02 04:00:00,BURGLARY,SAMPLE,STREET,True,21,41.68459377686065,-87.80764585037902
2020-01-02 05:00:00,BURGLARY,SAMPLE,STREET,False,4,41.944147059893005,-87.58759556405381
2020-01-02 06:00:00,ASSAULT,SAMPLE,STREET,True,3,41.98329170559512,-87.75989661152451
2020-01-02 07:00:00,BURGLARY,SAMPLE,STREET,True,17,42.01141249036512,-87.75836461799362
2020-01-02 08:00:00,BURGLARY,SAMPLE,STREET,True,2,41.878796778122684,-87.7338361011993
2020-01-02 09:00:00,THEFT,SAMPLE,STREET,True,19,41.9514341435998,-87.56005639812864
2020-01-02 10:00:00,ASSAULT,SAMPLE,STREET,True,20,41.950817734753045,-87.82468285118892
2020-01-02 11:00:00,ROBBERY,SAMPLE,STREET,True,23,41.71229990391958,-87.60437076923459
2020-01-02 12:00:00,ASSAULT,SAMPLE,STREET,True,22,41.715688274983826,-87.7475326370602
2020-01-02 13:00:00,ROBBERY,SAMPLE,STREET,True,8,41.678354202323646,-87.59515959220435
2020-01-02 14:00:00,THEFT,SAMPLE,STREET,False,15,41.777965454056115,-87.55247330514864
2020-01-02 15:00:00,BATTERY,SAMPLE,STREET,True,6,41.83940343509642,-87.74539977693647
2020-01-02 16:00:00,BURGLARY,SAMPLE,STREET,True,23,42.04915914110168,-87.81119309013629
2020-01-02 17:00:00,THEFT,SAMPLE,STREET,False,20,41.822397336827265,-87.80668735060512
2020-01-02 18:00:00,BURGLARY,SAMPLE,STREET,True,2,41.94049703540295,-87.62237773271524
2020-01-02 19:00:00,BATTERY,SAMPLE,STREET,True,15,41.92735881050901,-87.80652353429855
2020-01-02 20:00:00,BATTERY,SAMPLE,STREET,True,20,41.73179278010023,-87.7718735294396
2020-01-02 21:00:00,THEFT,SAMPLE,STREET,True,12,41.67340286057977,-87.78868049690136
2020-01-02 22:00:00,BATTERY,SAMPLE,STREET,True,3,41.86840270061343,-87.7432964307907
2020-01-02 23:00:00,ROBBERY,SAMPLE,STREET,True,10,41.93012223692579,-87.82769002745509
2020-01-03 00:00:00,BATTERY,SAMPLE,STREET,False,14,42.0493007160745,-87.59297725527782
2020-01-03 01:00:00,BURGLARY,SAMPLE,STREET,False,22,41.793444420912465,-87.5919561064597
2020-01-03 02:00:00,BURGLARY,SAMPLE,STREET,False,14,42.00854582483244,-87.72612013045519
2020-01-03 03:00:00,BURGLARY,SAMPLE,STREET,False,3,41.802772982347676,-87.66637372929296
2020-01-03 04:00:00,BURGLARY,SAMPLE,STREET,False,1,41.9257646833722,-87.65741452872871
2020-01-03 05:00:00,ROBBERY,SAMPLE,STREET,True,20,41.88930117220682,-87.62522256539621
2020-01-03 06:00:00,ASSAULT,SAMPLE,STREET,True,1,41.671191517321034,-87.69379297373678
